grupo;Z-score Geral;Z-score_Icms;Z-score_Empresas;Z-score_Empregos;_QuocienteLocacional;_EmpresasRS;;;;
EXTRAÇÃO DE MINÉRIO DE FERRO;-0.25806328439464904;-0.1856769318090135;-0.017735216299431967;-0.054651136286203564;0.13176921008936288;7;;;;
ATIVIDADES DE APOIO À EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL;-0.26578665952637776;-0.1856769318090135;-0.036300092272886046;-0.043809635444478225;0.10690588278337389;6;;;;
SEGUROS-SAÚDE;-0.2747285092848001;-0.1856769318090135;-0.0734298442197942;-0.015621733255992329;0.5264440950509;4;;;;
PRODUÇÃO DE FERRO-GUSA E DE FERROLIGAS;-0.29182505021257543;-0.17241727037995797;-0.0734298442197942;-0.04597793561282329;0.14705832702126076;4;;;;
ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS;-0.29694880913833477;-0.1856769318090135;-0.14768934811361054;0.03641747078428932;;;;;;
TRANSPORTE AÉREO DE CARGA;-0.3011518417621165;-0.18174406192949902;-0.0734298442197942;-0.04597793561282329;0.22058749053189117;4;;;;
CAÇA E SERVIÇOS RELACIONADOS;-0.3431642891301907;-0.1856769318090135;-0.0919947201932483;-0.06549263712792891;39.154.279.569.410.600;3;;;;
EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL;-0.34993783872026796;-0.1856769318090135;-0.12912447214015646;-0.03513643477109795;0.013738343708565151;1;;;;
ARRENDAMENTO MERCANTIL;-0.38029404107709885;-0.1856769318090135;-0.12912447214015646;-0.06549263712792891;0.06239725827794531;1;;;;
FABRICAÇÃO DE MÍDIAS VIRGENS; MAGNÉTICAS E ÓPTICAS;-0.3984317455800279;-0.18524976033848847;-0.14768934811361054;-0.06549263712792891;;;;;
COQUERIAS;-0.398858917050553;-0.1856769318090135;-0.14768934811361054;-0.06549263712792891;;;;;;
FABRICAÇÃO DE VEÍCULOS MILITARES DE COMBATE;-0.398858917050553;-0.1856769318090135;-0.14768934811361054;-0.06549263712792891;;;;;;
RESSEGUROS;-0.398858917050553;-0.1856769318090135;-0.14768934811361054;-0.06549263712792891;;;;;;
TRANSPORTE ESPACIAL;-0.398858917050553;-0.1856769318090135;-0.14768934811361054;-0.06549263712792891;;;;;;
